Category Name,URL
Clothing,//www.daraz.com.np/womens-clothing/
Clothing,javascript:void(0)
Tops & T-shirts,//www.daraz.com.np/tops/
Hoodies & Sweatshirts,//www.daraz.com.np/womens-hoodies-sweatshirts/
Sweaters & Cardigans,//www.daraz.com.np/womens-sweaters/
Jackets & Coats,//www.daraz.com.np/women-jackets-coats/
Pants & Leggings,//www.daraz.com.np/womens-pants-trousers/
Jeans,//www.daraz.com.np/womens-jeans/
Shorts,//www.daraz.com.np/clothing-shorts/
Skirts,//www.daraz.com.np/womens-skirts/
Dresses,//www.daraz.com.np/womens-dresses/
Party Wear,//www.daraz.com.np/womens-party-wear/
Traditional Clothing,//www.daraz.com.np/womens-traditional-clothing/
Traditional Clothing,javascript:void(0)
Saree,//www.daraz.com.np/womens-sarees/
Kurtas,//www.daraz.com.np/womens-shalwar-kameez/
Kurtis,//www.daraz.com.np/womens-kurtis/
Lehenga,//www.daraz.com.np/womens-party-wear/
Unstitched Fabric,//www.daraz.com.np/womens-lawn/
"Dupattas, Stoles & Shawls",//www.daraz.com.np/womens-dupattas-stoles-shawls/
Women's Bags,//www.daraz.com.np/womens-bags/
Women's Bags,javascript:void(0)
Backpacks,//www.daraz.com.np/womens-backpacks/
Crossbody Bags,//www.daraz.com.np/cross-body-shoulder-bags/
Wallets & Cardholders,//www.daraz.com.np/wallets-accessories/
Clutches,//www.daraz.com.np/womens-clutch-bags/
Top-handle Bags,//www.daraz.com.np/womens-office-digital/
Shoes,//www.daraz.com.np/womens-shoes/
Shoes,javascript:void(0)
Sneakers,//www.daraz.com.np/womens-sneakers/
Boots,//www.daraz.com.np/womens-boots/
Flat Shoes,//www.daraz.com.np/womens-flat-shoes/
Heels,//www.daraz.com.np/womens-heels/
Sandals,//www.daraz.com.np/womens-flats-sandals/
Wedges,//www.daraz.com.np/womens-wedges/
Accessories,//www.daraz.com.np/womens-accessories/
"Lingerie, Sleep & Lounge",//www.daraz.com.np/womens-lingerie-sleepwear/
"Lingerie, Sleep & Lounge",javascript:void(0)
Bras,//www.daraz.com.np/womens-bras/
Lingerie Sets,//www.daraz.com.np/womens-lingerie/
Panties,//www.daraz.com.np/womens-panties/
Sleep & Lounge Wear,//www.daraz.com.np/womens-nightwear/
Robes,//www.daraz.com.np/women-robes/
Shapewear,//www.daraz.com.np/womens-shapewear/
Sexy Lingerie,//www.daraz.com.np/sexy-lingerie/
