Clothing Type,Transformed URL
Clothing,https://www.daraz.com.np/womens-clothing/?ajax=true&page=iterator&sort=order
Tops & T-shirts,https://www.daraz.com.np/tops/?ajax=true&page=iterator&sort=order
Hoodies & Sweatshirts,https://www.daraz.com.np/womens-hoodies-sweatshirts/?ajax=true&page=iterator&sort=order
Sweaters & Cardigans,https://www.daraz.com.np/womens-sweaters/?ajax=true&page=iterator&sort=order
Jackets & Coats,https://www.daraz.com.np/women-jackets-coats/?ajax=true&page=iterator&sort=order
Pants & Leggings,https://www.daraz.com.np/womens-pants-trousers/?ajax=true&page=iterator&sort=order
Jeans,https://www.daraz.com.np/womens-jeans/?ajax=true&page=iterator&sort=order
Shorts,https://www.daraz.com.np/clothing-shorts/?ajax=true&page=iterator&sort=order
Skirts,https://www.daraz.com.np/womens-skirts/?ajax=true&page=iterator&sort=order
Dresses,https://www.daraz.com.np/womens-dresses/?ajax=true&page=iterator&sort=order
Party Wear,https://www.daraz.com.np/womens-party-wear/?ajax=true&page=iterator&sort=order
Traditional Clothing,https://www.daraz.com.np/womens-traditional-clothing/?ajax=true&page=iterator&sort=order
Saree,https://www.daraz.com.np/womens-sarees/?ajax=true&page=iterator&sort=order
Kurtas,https://www.daraz.com.np/womens-shalwar-kameez/?ajax=true&page=iterator&sort=order
Kurtis,https://www.daraz.com.np/womens-kurtis/?ajax=true&page=iterator&sort=order
Lehenga,https://www.daraz.com.np/womens-party-wear/?ajax=true&page=iterator&sort=order
Unstitched Fabric,https://www.daraz.com.np/womens-lawn/?ajax=true&page=iterator&sort=order
"Dupattas, Stoles & Shawls",https://www.daraz.com.np/womens-dupattas-stoles-shawls/?ajax=true&page=iterator&sort=order
Women's Bags,https://www.daraz.com.np/womens-bags/?ajax=true&page=iterator&sort=order
Backpacks,https://www.daraz.com.np/womens-backpacks/?ajax=true&page=iterator&sort=order
Crossbody Bags,https://www.daraz.com.np/cross-body-shoulder-bags/?ajax=true&page=iterator&sort=order
Wallets & Cardholders,https://www.daraz.com.np/wallets-accessories/?ajax=true&page=iterator&sort=order
Clutches,https://www.daraz.com.np/womens-clutch-bags/?ajax=true&page=iterator&sort=order
Top-handle Bags,https://www.daraz.com.np/womens-office-digital/?ajax=true&page=iterator&sort=order
Shoes,https://www.daraz.com.np/womens-shoes/?ajax=true&page=iterator&sort=order
Sneakers,https://www.daraz.com.np/womens-sneakers/?ajax=true&page=iterator&sort=order
Boots,https://www.daraz.com.np/womens-boots/?ajax=true&page=iterator&sort=order
Flat Shoes,https://www.daraz.com.np/womens-flat-shoes/?ajax=true&page=iterator&sort=order
Heels,https://www.daraz.com.np/womens-heels/?ajax=true&page=iterator&sort=order
Sandals,https://www.daraz.com.np/womens-flats-sandals/?ajax=true&page=iterator&sort=order
Wedges,https://www.daraz.com.np/womens-wedges/?ajax=true&page=iterator&sort=order
Accessories,https://www.daraz.com.np/womens-accessories/?ajax=true&page=iterator&sort=order
