name,nid,icons,productUrl,image,originalPrice,originalPriceShow,price,promotionId,priceShow,discount,review,tItemType,location,cheapest_sku,sku,skus,description,brandId,brandName,sellerId,mainSellerId,sellerName,thumbs,restrictedAge,categories,clickTrace,addToCartSkus,itemId,freeShipping,skuId,inStock,isAD,addToCart,adClickTrace,utLogMap.x_object_type,utLogMap.originalPrice,utLogMap.x_item_ids,utLogMap.scene_pre,utLogMap.discount,utLogMap.isFreeShipping,utLogMap.x_sku_ids,utLogMap.SN,utLogMap.current_price,utLogMap.x_ad,utLogMap.x_eagleeye,utLogMap.x_object_id,installment,ratingScore,utLogMap.voucherIds
Red Solid Wide Leg Strecthable Pant For Women,103602164,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/red-solid-wide-leg-strecthable-pant-for-women-i103602164-s1024318939.html?search=1,https://static-01.daraz.com.np/p/273f9cd99b85a2bc362913c2aaa936e6.jpg,1025.00,"Rs. 1,025",685,null,Rs. 685,-33%,0,nt_product,Nepal,103602164_NP-1024318939,103602164_NP,[],[],39704,No Brand,1009986,,Arushi,[],0,"[1819, 1820, 1738, 4428, 4434]",query:;nid:103602164;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:103602164_NP;price:685;client:desktop;supplier_id:1009986;asc_category_id:4434;item_id:103602164;sku_id:1024318939;shop_id:19800,"[{'sku': '103602164_NP-1024318939', 'title': 'free size', 'skuId': '1024318939', 'count': 0}]",103602164,Free Shipping,1024318939,True,0,False,query:;nid:103602164;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:103602164_NP;price:685;client:desktop;supplier_id:1009986;asc_category_id:4434;item_id:103602164;sku_id:1024318939;shop_id:19800,item,1025.00,103602164,search,33,true,1024318939,f71917f99c571e1b059f883cc79904af,685,1,213bce9b16994318657502952ee880,103602164,,,
Printed Stretchable Solid Casual Track Pant Trouser For Women,127792822,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/printed-stretchable-solid-casual-track-pant-trouser-for-women-i127792822-s1034754809.html?search=1,https://static-01.daraz.com.np/p/a97e29cc5c0e0ab333c5b018bd1b32ce.png,1590.00,"Rs. 1,590",990.00,null,Rs. 990,-38%,0,nt_product,Nepal,127792822_NP-1034754809,127792822_NP,[],"['Care Instructions: Dry Clean Only', 'Fabric: 95% Polyester, 5% Spandex.', 'Pattern :Printed', 'Designed for best fitment for young, stylish girls, mesmerizing chrome look with a modern twist.', 'Occasion: Casual || Party || Beach || Formal || Meeting || Office wear', 'Team It with a Top, Tunic, Shirt and flats to step out in style This trendy Pant is designed for comfort and style', 'Package Contains : 1* Track Pant Trouser']",39704,No Brand,900153111006,,Nepal Sales,[],0,"[1819, 1820, 1738, 4428, 4434]",query:;nid:127792822;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:127792822_NP;price:990.00;client:desktop;supplier_id:900153111006;asc_category_id:4434;item_id:127792822;sku_id:1034754809;shop_id:57535,"[{'sku': '127792822_NP-1034754809', 'title': 'M', 'skuId': '1034754809', 'count': 0}]",127792822,Free Shipping,1034754809,True,0,False,query:;nid:127792822;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:127792822_NP;price:990.00;client:desktop;supplier_id:900153111006;asc_category_id:4434;item_id:127792822;sku_id:1034754809;shop_id:57535,item,1590.00,127792822,search,38,true,1034754809,f71917f99c571e1b059f883cc79904af,990.00,1,213bce9b16994318657502952ee880,127792822,,,
FuLoo Rocky Pant In Brown For Women,127973732,"[{'domClass': 'lazMall', 'text': 'LazMall', 'alias': 'LazMallAlias', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/fuloo-rocky-pant-in-brown-for-women-i127973732-s1035016583.html?search=1,https://static-01.daraz.com.np/p/5361a58a83de8240fa694896d753a703.jpg,,,1750.00,null,"Rs. 1,750",,0,nt_product,Nepal,127973732_NP-1035016583,127973732_NP,[],"['Rocky Women Brown', 'Plain Pant', 'Outdoor wear', 'Good quality', 'hands wash and machine wash', '2 pockets', 'Regular Fit']",123259024,FuLoo,1008308,,Fuloo Store,[],0,"[1819, 1820, 1738, 4428, 4434]",query:;nid:127973732;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:127973732_NP;price:1750.00;client:desktop;supplier_id:1008308;asc_category_id:4434;item_id:127973732;sku_id:1035016583;shop_id:18185,"[{'sku': '127973732_NP-1035016583', 'title': 'Waist:24', 'skuId': '1035016583', 'count': 0}, {'sku': '127973732_NP-1035016584', 'title': 'Waist:26', 'skuId': '1035016584', 'count': 0}, {'sku': '127973732_NP-1035016585', 'title': 'Waist:28', 'skuId': '1035016585', 'count': 0}, {'sku': '127973732_NP-1035016586', 'title': 'Waist:30', 'skuId': '1035016586', 'count': 0}, {'sku': '127973732_NP-1035016587', 'title': 'Waist:32', 'skuId': '1035016587', 'count': 0}]",127973732,Free Shipping,1035016583,True,0,False,query:;nid:127973732;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:127973732_NP;price:1750.00;client:desktop;supplier_id:1008308;asc_category_id:4434;item_id:127973732;sku_id:1035016583;shop_id:18185,item,1750.00,127973732,search,0,true,1035016583,f71917f99c571e1b059f883cc79904af,1750.00,1,213bce9b16994318657502952ee880,127973732,,,
LOGO Denim Pant For Women,128097055,"[{'domClass': 'lazMall', 'text': 'LazMall', 'alias': 'LazMallAlias', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/logo-denim-pant-for-women-i128097055-s1035164591.html?search=1,https://static-01.daraz.com.np/p/436ccc4e58f77a41096bc7d04985f8ca.jpg,,,2300.00,null,"Rs. 2,300",,0,nt_product,Nepal,128097055_NP-1035164591,128097055_NP,[],"['100% Cotton', 'Straight fit design ', 'Soft, light and comfortable ', 'Model is wearing size - 28', 'Wash as per the instruction on care label']",55775,LOGO,900152982023,,LOGO,[],0,"[1819, 1820, 1738, 4428, 4434]",query:;nid:128097055;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:128097055_NP;price:2300.00;client:desktop;supplier_id:900152982023;asc_category_id:4434;item_id:128097055;sku_id:1035164591;shop_id:56447,"[{'sku': '128097055_NP-1035164593', 'title': 'Int:28', 'skuId': '1035164593', 'count': 0}, {'sku': '128097055_NP-1035164592', 'title': 'Int:30', 'skuId': '1035164592', 'count': 0}, {'sku': '128097055_NP-1035164591', 'title': 'Int:32', 'skuId': '1035164591', 'count': 0}, {'sku': '128097055_NP-1035164594', 'title': 'Int:34', 'skuId': '1035164594', 'count': 0}, {'sku': '128097055_NP-1035164595', 'title': 'Int:36', 'skuId': '1035164595', 'count': 0}]",128097055,Free Shipping,1035164591,True,0,False,query:;nid:128097055;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:128097055_NP;price:2300.00;client:desktop;supplier_id:900152982023;asc_category_id:4434;item_id:128097055;sku_id:1035164591;shop_id:56447,item,2300.00,128097055,search,0,true,1035164591,f71917f99c571e1b059f883cc79904af,2300.00,1,213bce9b16994318657502952ee880,128097055,,,
"Leggings for women/ Black, Blue and Grey Colors Super Stretchable Leggings for Women",119962904,"[{'domClass': 'lazMall', 'text': 'LazMall', 'alias': 'LazMallAlias', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/leggings-for-women-black-blue-and-grey-colors-super-stretchable-leggings-for-women-i119962904-s1032795575.html?search=1,https://static-01.daraz.com.np/p/f03fed05592179bd30e127330214c1ce.png,1760.00,"Rs. 1,760",1260.00,null,"Rs. 1,260",-28%,3,nt_product,Nepal,119962904_NP-1032795575,119962904_NP,[],"['95% Cotton, 5% Spandex', 'Exported Quality', 'Color Black, Blue and Grey ', 'Machine and hand Wash', 'The regular waisted leggings for women and fits your body perfectly', 'ULTRA-STRETCH: ultra-stretch fit that slims and conforms with each pose, movement, and contour. Featuring the super stretchy material, our leggings are very comfy.', 'PERFECT FOR ANY SEASON, ACTIVITY - The leggings are perfect for any season and any activity. light Yoga, Workout, Fitness, Pilates, or Cross Fit, these slimming pants can be worn lounging around the house, shopping, or living an active lifestyle. Pair with anything from dresses to sweaters to create a look that shows off your sense of fashion.']",155927,Livingtex,900152010021,,Livingtex,[],0,"[1819, 1820, 1738, 4428, 4442]",query:;nid:119962904;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:119962904_NP;price:1260.00;client:desktop;supplier_id:900152010021;asc_category_id:4442;item_id:119962904;sku_id:1032795575;shop_id:37199,"[{'sku': '119962904_NP-1032795575', 'title': 'Int S', 'skuId': '1032795575', 'count': 0}, {'sku': '119962904_NP-1032795576', 'title': 'Int M', 'skuId': '1032795576', 'count': 0}, {'sku': '119962904_NP-1032795577', 'title': 'Int L', 'skuId': '1032795577', 'count': 0}, {'sku': '119962904_NP-1032795578', 'title': 'Int XL', 'skuId': '1032795578', 'count': 0}, {'sku': '119962904_NP-1032795579', 'title': 'Int XXL', 'skuId': '1032795579', 'count': 0}]",119962904,Free Shipping,1032795575,True,0,False,query:;nid:119962904;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:119962904_NP;price:1260.00;client:desktop;supplier_id:900152010021;asc_category_id:4442;item_id:119962904;sku_id:1032795575;shop_id:37199,item,1760.00,119962904,search,28,true,1032795575,f71917f99c571e1b059f883cc79904af,1260.00,1,213bce9b16994318657502952ee880,119962904,,5,
Gemi Zodiac Themed Cotton Socks For Men,127883930,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/gemi-zodiac-themed-cotton-socks-for-men-i127883930-s1034885778.html?search=1,https://static-01.daraz.com.np/p/1dc03fe22d9d758350e9dc460d4135e8.jpg,999.00,Rs. 999,399.00,null,Rs. 399,-60%,1,nt_product,Nepal,127883930_NP-1034885778,127883930_NP,[],"['Four Season ', 'Antibacterial', ' Unisex Cotton Socks ', 'Gemi Zodiac Themed Cotton Socks For Unisex', ""🧦 The design is extremely youthful, heavy, fashionable and very unique.🧦 100% cotton socks/socks material, breathable, stretchy and comfortable, so it doesn't leave marks on the feet.- Instructions on how to wash and care for socks/socks:-&gt; Should be washed by hand to make the socks most durable, if washing in a washing machine, it should be put in a washing bag.-&gt; Hang horizontally on a hook, avoid direct sunlight, causing socks/socks to fade quickly.""]",39704,No Brand,900157326123,,Peninsula Collection,[],0,"[1819, 1820, 1738, 1756]",query:;nid:127883930;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:127883930_NP;price:399.00;client:desktop;supplier_id:900157326123;asc_category_id:1756;item_id:127883930;sku_id:1034885778;shop_id:91788,"[{'sku': '127883930_NP-1034885778', 'title': 'Int: One size', 'skuId': '1034885778', 'count': 0}]",127883930,Free Shipping,1034885778,True,0,False,query:;nid:127883930;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:127883930_NP;price:399.00;client:desktop;supplier_id:900157326123;asc_category_id:1756;item_id:127883930;sku_id:1034885778;shop_id:91788,item,999.00,127883930,search,60,true,1034885778,f71917f99c571e1b059f883cc79904af,399.00,1,213bce9b16994318657502952ee880,127883930,,3,
Loose Fit Woolen Trouser for Ladies,123233299,"[{'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/loose-fit-woolen-trouser-for-ladies-i123233299-s1033477468.html?search=1,https://static-01.daraz.com.np/p/2f2003954406684ef368f6e972d13e38.jpg,,,1850.00,null,"Rs. 1,850",,0,nt_product,Nepal,123233299_NP-1033477468,123233299_NP,[],"['Material Woolen', 'Hand &amp; Machine Wash', 'Straight wide-leg trousers, generous style, comfortable and not tight, covering the flesh is thinner and taller, making you look fuller and cooler.', 'The material is sufficient, wear-resistant and durable. It has a good warmth effect in cold weather.', 'The texture is clear and the color has a natural texture to meet your needs for fabrics.', 'Suitable for keeping warm in spring, autumn and winter. It is an indispensable accessory in your wardrobe.', 'It is suitable for various occasions such as dating, shopping, traveling, gathering, leisure and vacation. It is also very suitable for walking, night tours and daily life. This is a great gift for girlfriends, wives and daughters.']",39704,No Brand,900153984340,,Bhoowa Clothing Store,[],0,"[1819, 1820, 1738, 4428, 4434]",query:;nid:123233299;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:123233299_NP;price:1850.00;client:desktop;supplier_id:900153984340;asc_category_id:4434;item_id:123233299;sku_id:1033477468;shop_id:66395,"[{'sku': '123233299_NP-1033477468', 'title': 'free size', 'skuId': '1033477468', 'count': 0}]",123233299,Free Shipping,1033477468,True,0,False,query:;nid:123233299;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:123233299_NP;price:1850.00;client:desktop;supplier_id:900153984340;asc_category_id:4434;item_id:123233299;sku_id:1033477468;shop_id:66395,item,1850.00,123233299,search,0,true,1033477468,f71917f99c571e1b059f883cc79904af,1850.00,1,213bce9b16994318657502952ee880,123233299,,,
Pure Lycra Cotton Strechable Pant For Women,127874455,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/pure-lycra-cotton-strechable-pant-for-women-i127874455-s1034879012.html?search=1,https://static-01.daraz.com.np/p/02c024d81b4da3611d4f118a971d8079.jpg,1500.00,"Rs. 1,500",950.00,null,Rs. 950,-37%,0,nt_product,Nepal,127874455_NP-1034879012,127874455_NP,[],"['pure lycra cotton pant', 'size available xl and xxl', 'xl means 28 to 32 waist size', 'xxl means 32 to 36 waist size', 'no shrink', 'quality full guaranteed', 'stylish and fashionable']",39704,No Brand,900157494378,,The Fashion Closet,[],0,"[1819, 1820, 1738, 4428, 4434]",query:;nid:127874455;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:127874455_NP;price:950.00;client:desktop;supplier_id:900157494378;asc_category_id:4434;item_id:127874455;sku_id:1034879012;shop_id:93490,"[{'sku': '127874455_NP-1034879012', 'title': 'XL', 'skuId': '1034879012', 'count': 0}, {'sku': '127874455_NP-1034879013', 'title': 'XXL', 'skuId': '1034879013', 'count': 0}]",127874455,Free Shipping,1034879012,True,0,False,query:;nid:127874455;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:127874455_NP;price:950.00;client:desktop;supplier_id:900157494378;asc_category_id:4434;item_id:127874455;sku_id:1034879012;shop_id:93490,item,1500.00,127874455,search,37,true,1034879012,f71917f99c571e1b059f883cc79904af,950.00,1,213bce9b16994318657502952ee880,127874455,,,
Jeanswest BLACK Pant For Women,120398493,"[{'domClass': 'lazMall', 'text': 'LazMall', 'alias': 'LazMallAlias', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/jeanswest-black-pant-for-women-i120398493-s1032860899.html?search=1,https://static-01.daraz.com.np/p/0f6c2a6e1f039fa29a96cee299bec9f2.jpg,,,4075.00,null,"Rs. 4,075",,1,nt_product,Nepal,120398493_NP-1032860899,120398493_NP,[],"['Gender: Women', 'ColorStyle: 23-251501 - BLACK/8010', 'Shape: Casual, Outdoor', 'Product Type: Pant', 'Fabric: 76%Viscose, 21.1%Nylon, 2.9%Spandex']",138912,Jeanswest,8903,,Jeanswest,[],0,"[1819, 1820, 1738, 4428, 4434]",query:;nid:120398493;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:120398493_NP;price:4075.00;client:desktop;supplier_id:8903;asc_category_id:4434;item_id:120398493;sku_id:1032860899;shop_id:8996,"[{'sku': '120398493_NP-1032860899', 'title': 'Int S', 'skuId': '1032860899', 'count': 0}, {'sku': '120398493_NP-1032860901', 'title': 'Int L', 'skuId': '1032860901', 'count': 0}]",120398493,Free Shipping,1032860899,True,0,False,query:;nid:120398493;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:120398493_NP;price:4075.00;client:desktop;supplier_id:8903;asc_category_id:4434;item_id:120398493;sku_id:1032860899;shop_id:8996,item,4075.00,120398493,search,0,true,1032860899,f71917f99c571e1b059f883cc79904af,4075.00,1,213bce9b16994318657502952ee880,120398493,,5,
Checked Design With Elastic Waist Trouser For Women,128303102,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/checked-design-with-elastic-waist-trouser-for-women-i128303102-s1035558779.html?search=1,https://static-01.daraz.com.np/p/395b393386e21fd7cd2c78ae96deebd9.jpg,1200.00,"Rs. 1,200",846,null,Rs. 846,-30%,0,nt_product,Nepal,128303102_NP-1035558779,128303102_NP,[],"['Cotton Material: Crafted from breathable and soft cotton fabric, ensuring comfort throughout the day.', 'Checked Design: Features a classic and timeless checked pattern that adds a touch of sophistication.', 'Elastic Waist: Equipped with an elastic waistband for a comfortable and adjustable fit.', 'Versatile Style: Suitable for both casual and semi-formal occasions, depending on how you accessorize.', 'Straight Leg Cut: Often designed with a straight leg cut for a tailored and polished appearance.', 'Side Pockets: Includes practical side pockets for functionality and convenience.']",39704,No Brand,900168480016,,Petal & Threads,[],0,"[1819, 1820, 1738, 4428, 4451]",query:;nid:128303102;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:128303102_NP;price:846;client:desktop;supplier_id:900168480016;asc_category_id:4451;item_id:128303102;sku_id:1035558779;shop_id:106514,"[{'sku': '128303102_NP-1035558780', 'title': 'L', 'skuId': '1035558780', 'count': 0}, {'sku': '128303102_NP-1035558779', 'title': 'M', 'skuId': '1035558779', 'count': 0}]",128303102,Free Shipping,1035558779,True,0,False,query:;nid:128303102;src:LazadaMainSrp;rn:f71917f99c571e1b059f883cc79904af;region:np;sku:128303102_NP;price:846;client:desktop;supplier_id:900168480016;asc_category_id:4451;item_id:128303102;sku_id:1035558779;shop_id:106514,item,1200.00,128303102,search,30,true,1035558779,f71917f99c571e1b059f883cc79904af,846,1,213bce9b16994318657502952ee880,128303102,,,
