name,nid,icons,productUrl,image,price,promotionId,priceShow,ratingScore,review,installment,tItemType,location,cheapest_sku,sku,skus,description,brandId,brandName,sellerId,mainSellerId,sellerName,thumbs,restrictedAge,categories,clickTrace,addToCartSkus,itemId,freeShipping,skuId,inStock,isAD,addToCart,adClickTrace,utLogMap.x_object_type,utLogMap.originalPrice,utLogMap.scene_pre,utLogMap.discount,utLogMap.isFreeShipping,utLogMap.x_sku_ids,utLogMap.x_item_ids,utLogMap.SN,utLogMap.current_price,utLogMap.x_ad,utLogMap.x_eagleeye,utLogMap.voucherIds,utLogMap.x_object_id,originalPrice,originalPriceShow,discount
Plain Formal Satin Pants For Women - Black Colored | Brown Colored | Fashion | Formal Pants For Women,124595837,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/plain-formal-satin-pants-for-women-black-colored-brown-colored-fashion-formal-pants-for-women-i124595837-s1033844167.html?search=1,https://static-01.daraz.com.np/p/ad4cc9da5a911ff80b27a57c69c960b6.jpg,1699.00,null,"Rs. 1,699",4,104,,nt_product,Nepal,124595837_NP-1033844167,124595837_NP,[],"[' Brand : No Brand', ' Size : 26-31', ' Colour : Brown/Black', ' Material : Satin', ' Comfortable', ' Breathable ']",39704,No Brand,900154284800,,Hot Topic,[],0,"[1819, 1820, 1738, 4428, 4434]",query:;nid:124595837;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:124595837_NP;price:1699.00;client:desktop;supplier_id:900154284800;asc_category_id:4434;item_id:124595837;sku_id:1033844167;shop_id:68000,"[{'sku': '124595837_NP-1033844168', 'title': 'L', 'skuId': '1033844168', 'count': 0}, {'sku': '124595837_NP-1034056244', 'title': 'M', 'skuId': '1034056244', 'count': 0}, {'sku': '124595837_NP-1033844167', 'title': 'S', 'skuId': '1033844167', 'count': 0}, {'sku': '124595837_NP-1033844169', 'title': 'XL', 'skuId': '1033844169', 'count': 0}, {'sku': '124595837_NP-1034382762', 'title': 'XXL', 'skuId': '1034382762', 'count': 0}]",124595837,Free Shipping,1033844167,True,0,False,query:;nid:124595837;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:124595837_NP;price:1699.00;client:desktop;supplier_id:900154284800;asc_category_id:4434;item_id:124595837;sku_id:1033844167;shop_id:68000,item,1699.00,search,0,true,1033844167,124595837,7be4209642c5df23310d258e0531109d,1699.00,1,2141131716994318119292773eeeb7,50000001512009,124595837,,,
Unisex Parachute Pant,128160644,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/unisex-parachute-pant-i128160644-s1035261887.html?search=1,https://np-live-21.slatic.net/kf/S48486a75443d4bada806552dc4b24027Q.jpg,998,null,Rs. 998,4.4,37,,nt_product,Nepal,128160644_NP-1035261887,128160644_NP,[],"['Stretchable waist', 'Available sizes s, m, l ', 'Unisex', 'Light weight', 'Available color grey, black and green ']",39704,No Brand,900159798112,,Fashion Factory-Nepal,[],0,"[1819, 1820, 1738, 4428, 4434]",query:;nid:128160644;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:128160644_NP;price:998;client:desktop;supplier_id:900159798112;asc_category_id:4434;item_id:128160644;sku_id:1035261887;shop_id:102464,"[{'sku': '128160644_NP-1035261887', 'title': 'Int S', 'skuId': '1035261887', 'count': 0}, {'sku': '128160644_NP-1035261888', 'title': 'Int M', 'skuId': '1035261888', 'count': 0}, {'sku': '128160644_NP-1035261889', 'title': 'Int L', 'skuId': '1035261889', 'count': 0}]",128160644,,1035261887,True,0,False,query:;nid:128160644;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:128160644_NP;price:998;client:desktop;supplier_id:900159798112;asc_category_id:4434;item_id:128160644;sku_id:1035261887;shop_id:102464,item,1400.00,search,29,false,1035261887,128160644,7be4209642c5df23310d258e0531109d,998,1,2141131716994318119292773eeeb7,,128160644,1400.00,"Rs. 1,400",-29%
Pack of 12 (6 Pairs) Women Velvet Fur Inside Winter Socks - Multicolor,109122498,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/pack-of-12-6-pairs-women-velvet-fur-inside-winter-socks-multicolor-i109122498-s1029472507.html?search=1,https://static-01.daraz.com.np/p/61a3f660d017e8f875b86715614f8415.jpg,510.00,null,Rs. 510,4.3,58,,nt_product,Nepal,109122498_NP-1029472507,109122498_NP,[],"['Material:Spandex / Nylon / Cotton', 'Feature:Breathable,Sweat-Absorbent, Anti-Bacterial', 'Color:As Shown in the Picture', 'Size:Custom Made Size', 'Age Group:Adults', 'Gender:Women']",39704,No Brand,900152409121,,G.R Six Store,[],0,"[1819, 1820, 1738, 1756]",query:;nid:109122498;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:109122498_NP;price:510.00;client:desktop;supplier_id:900152409121;asc_category_id:1756;item_id:109122498;sku_id:1029472507;shop_id:47403,"[{'sku': '109122498_NP-1029472507', 'title': 'free size', 'skuId': '1029472507', 'count': 0}]",109122498,,1029472507,True,0,False,query:;nid:109122498;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:109122498_NP;price:510.00;client:desktop;supplier_id:900152409121;asc_category_id:1756;item_id:109122498;sku_id:1029472507;shop_id:47403,item,899.00,search,43,false,1029472507,109122498,7be4209642c5df23310d258e0531109d,510.00,1,2141131716994318119292773eeeb7,,109122498,899.00,Rs. 899,-43%
Warm Winter Fake Skin Transparent High Waist Stretchy Leggings Stockings From Sale Sansar For Women,120732637,"[{'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/warm-winter-fake-skin-transparent-high-waist-stretchy-leggings-stockings-from-sale-sansar-for-women-i120732637-s1032920832.html?search=1,https://static-01.daraz.com.np/p/d5233a14d2e4b397059daed753bd2a9f.jpg,950.00,null,Rs. 950,4.5,20,,nt_product,Nepal,120732637_NP-1032920832,120732637_NP,[],"['Winter Pantyhose.This pantyhose looks fashionable like a sheer pantyhose while the inner fleece keep you warm and comfortable.', 'For Every Women.This is stretchy and great for all women of all sizes. Perfect Match To Any Outfit. Perfect match with your dresses, skirts, long sweater, boots, high heels, and more.', 'Slims And Shapes Your Body.This also effectively firms your legs and flattens your stomach for a slimmer appearance.', 'Super Stretchy And Lightweight. This does not add bulky feeling when worn alone or under clothes that allows you to move without restrictions.', 'Your Everyday Wear.It can be worn also on a regular day, at the office, school, for casual occasions and stylish events. It is easy to wash and maintain as it is strong and durable.']",39704,No Brand,9331,,Sale Sansar,[],0,"[1819, 1820, 1738, 1756]",query:;nid:120732637;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:120732637_NP;price:950.00;client:desktop;supplier_id:9331;asc_category_id:1756;item_id:120732637;sku_id:1032920832;shop_id:9350,"[{'sku': '120732637_NP-1032920832', 'title': 'Int: One size', 'skuId': '1032920832', 'count': 0}]",120732637,Free Shipping,1032920832,True,0,False,query:;nid:120732637;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:120732637_NP;price:950.00;client:desktop;supplier_id:9331;asc_category_id:1756;item_id:120732637;sku_id:1032920832;shop_id:9350,item,1650.00,search,42,true,1032920832,120732637,7be4209642c5df23310d258e0531109d,950.00,1,2141131716994318119292773eeeb7,,120732637,1650.00,"Rs. 1,650",-42%
Formal Belly Design Stretchable Side Pocket Pant For Women - Multicolor | Multisize | Fashion | Pants For Women,124358872,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/formal-belly-design-stretchable-side-pocket-pant-for-women-multicolor-multisize-fashion-pants-for-women-i124358872-s1033769252.html?search=1,https://static-01.daraz.com.np/p/bf526be40b0b1e968e1fc582d31362fc.png,666.00,null,Rs. 666,4.4,94,,nt_product,Nepal,124358872_NP-1033769252,124358872_NP,[],"['Brand: Generic', 'Material: Chiffon/Spandex', 'Pattern: Solid', 'Belly Design Pant', 'Stretchable Fabric', 'Type: Casual/High Waist', 'Care: Hand/Machine Wash', 'Comfortable', 'Fashionable and stylish', 'Attractive wear']",39704,No Brand,900156810184,,Sansa's Collection All In One Store,[],0,"[1819, 1820, 1738, 4428, 4434]",query:;nid:124358872;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:124358872_NP;price:666.00;client:desktop;supplier_id:900156810184;asc_category_id:4434;item_id:124358872;sku_id:1033769252;shop_id:85892,"[{'sku': '124358872_NP-1033769252', 'title': 'Waist:28', 'skuId': '1033769252', 'count': 0}, {'sku': '124358872_NP-1033769253', 'title': 'Waist:30', 'skuId': '1033769253', 'count': 0}, {'sku': '124358872_NP-1033769254', 'title': 'Waist:32', 'skuId': '1033769254', 'count': 0}, {'sku': '124358872_NP-1034878816', 'title': 'Waist:34', 'skuId': '1034878816', 'count': 0}]",124358872,Free Shipping,1033769252,True,0,False,query:;nid:124358872;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:124358872_NP;price:666.00;client:desktop;supplier_id:900156810184;asc_category_id:4434;item_id:124358872;sku_id:1033769252;shop_id:85892,item,1100.00,search,39,true,1033769252,124358872,7be4209642c5df23310d258e0531109d,666.00,1,2141131716994318119292773eeeb7,5000000151200750000001655016,124358872,1100.00,"Rs. 1,100",-39%
Women's Fashion Classic Comfortable Cotton Ankle Socks - Pack Of 5 Pairs - Multicolor | Fashion Ankle Socks For Women,117053154,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/womens-fashion-classic-comfortable-cotton-ankle-socks-pack-of-5-pairs-multicolor-fashion-ankle-socks-for-women-i117053154-s1032967881.html?search=1,https://static-01.daraz.com.np/p/8e5388696c943f6fcf5d285755127718.png,445,null,Rs. 445,4.6,41,,nt_product,Nepal,117053154_NP-1032967881,117053154_NP,[],[],39704,No Brand,900151896073,,E-Stores,[],0,"[1819, 1820, 1738, 1756]",query:;nid:117053154;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:117053154_NP;price:445;client:desktop;supplier_id:900151896073;asc_category_id:1756;item_id:117053154;sku_id:1032967881;shop_id:35245,"[{'sku': '117053154_NP-1032967881', 'title': 'Int: One size', 'skuId': '1032967881', 'count': 0}]",117053154,Free Shipping,1032967881,True,0,False,query:;nid:117053154;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:117053154_NP;price:445;client:desktop;supplier_id:900151896073;asc_category_id:1756;item_id:117053154;sku_id:1032967881;shop_id:35245,item,495.00,search,10,true,1032967881,117053154,7be4209642c5df23310d258e0531109d,445,1,2141131716994318119292773eeeb7,,117053154,495.00,Rs. 495,-10%
1 Pair Nude Skin Ultra-Thin Transparent Ankle Socks For Women,128231876,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/1-pair-nude-skin-ultra-thin-transparent-ankle-socks-for-women-i128231876-s1035391716.html?search=1,https://static-01.daraz.com.np/p/c339e496571ff64cd508a6d846c577a1.jpg,39,null,Rs. 39,4.5,4,,nt_product,Nepal,128231876_NP-1035391716,128231876_NP,[],"['Pack Contains: 1 Pairs Semi Transparent Socks', 'Color: Nude', 'Size: Free Size', 'Fit: Skinny', 'Soft, Comfortable &amp; Stylish, Semi Transparent Socks', 'No Worry For Size']",39704,No Brand,900153735717,,Ecommerce mall,[],0,"[1819, 1820, 1738, 1756]",query:;nid:128231876;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:128231876_NP;price:39;client:desktop;supplier_id:900153735717;asc_category_id:1756;item_id:128231876;sku_id:1035391716;shop_id:65117,"[{'sku': '128231876_NP-1035391716', 'skuId': '1035391716', 'count': 0}]",128231876,Free Shipping,1035391716,True,0,False,query:;nid:128231876;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:128231876_NP;price:39;client:desktop;supplier_id:900153735717;asc_category_id:1756;item_id:128231876;sku_id:1035391716;shop_id:65117,item,70.00,search,44,true,1035391716,128231876,7be4209642c5df23310d258e0531109d,39,1,2141131716994318119292773eeeb7,,128231876,70.00,Rs. 70,-44%
Bisesh Creation Palazzo Pants For Women - Multicolor | Fashion Rayon Elastic Waist Plazzo Pant For Women,127342383,"[{'domClass': 'lazMall', 'text': 'LazMall', 'alias': 'LazMallAlias', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/bisesh-creation-palazzo-pants-for-women-multicolor-fashion-rayon-elastic-waist-plazzo-pant-for-women-i127342383-s1034501788.html?search=1,https://static-01.daraz.com.np/p/19bcd28c9eb2d255b49d17af129b93fc.jpg,390.00,null,Rs. 390,4.3,122,,nt_product,Bagmati,127342383_NP-1034501788,127342383_NP,[],"['Fabric : Rayon', 'Waist Band :Elastic', 'Length :Full', 'Dimension(L):39""', 'Style :plain', 'Wash Care : Hand/Machine Wash']",185814,Bisesh Creation,7696,,Bisesh Creation,[],0,"[1819, 1820, 1738, 4428, 4434]",query:;nid:127342383;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:127342383_NP;price:390.00;client:desktop;supplier_id:7696;asc_category_id:4434;item_id:127342383;sku_id:1034501788;shop_id:8897,"[{'sku': '127342383_NP-1034501788', 'title': 'Int M', 'skuId': '1034501788', 'count': 0}, {'sku': '127342383_NP-1034501790', 'title': 'Int XL', 'skuId': '1034501790', 'count': 0}]",127342383,Free Shipping,1034501788,True,0,False,query:;nid:127342383;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:127342383_NP;price:390.00;client:desktop;supplier_id:7696;asc_category_id:4434;item_id:127342383;sku_id:1034501788;shop_id:8897,item,890.00,search,56,true,1034501788,127342383,7be4209642c5df23310d258e0531109d,390.00,1,2141131716994318119292773eeeb7,,127342383,890.00,Rs. 890,-56%
Warm Winter Fake Skin Transparent High Waist Stretchy Leggings Stockings From Sale Sansar For Women,128369934,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/warm-winter-fake-skin-transparent-high-waist-stretchy-leggings-stockings-from-sale-sansar-for-women-i128369934-s1035842929.html?search=1,https://static-01.daraz.com.np/p/dc7926b445a5f458e920df4115c3510b.jpg,999.00,null,Rs. 999,4.3,3,,nt_product,Nepal,128369934_NP-1035842929,128369934_NP,[],"['Winter Pantyhose.This pantyhose looks fashionable like a sheer pantyhose while the inner fleece keep you warm and comfortable.', 'For Every Women.This is stretchy and great for all women of all sizes. Perfect Match To Any Outfit. Perfect match with your dresses, skirts, long sweater, boots, high heels, and more.', 'Slims And Shapes Your Body.This also effectively firms your legs and flattens your stomach for a slimmer appearance.', 'Super Stretchy And Lightweight. This does not add bulky feeling when worn alone or under clothes that allows you to move without restrictions.', 'Your Everyday Wear.It can be worn also on a regular day, at the office, school, for casual occasions and stylish events. It is easy to wash and maintain as it is strong and durable.']",39704,No Brand,900161523842,,THE PANDA,[],0,"[1819, 1820, 1738, 1756]",query:;nid:128369934;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:128369934_NP;price:999.00;client:desktop;supplier_id:900161523842;asc_category_id:1756;item_id:128369934;sku_id:1035842929;shop_id:104519,"[{'sku': '128369934_NP-1035842929', 'title': 'free size', 'skuId': '1035842929', 'count': 0}]",128369934,Free Shipping,1035842929,True,0,False,query:;nid:128369934;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:128369934_NP;price:999.00;client:desktop;supplier_id:900161523842;asc_category_id:1756;item_id:128369934;sku_id:1035842929;shop_id:104519,item,1599.00,search,38,true,1035842929,128369934,7be4209642c5df23310d258e0531109d,999.00,1,2141131716994318119292773eeeb7,,128369934,1599.00,"Rs. 1,599",-38%
Pack of 12 (6 Pairs) Women Velvet Fur Inside Winter Socks - Multicolor,103113064,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/pack-of-12-6-pairs-women-velvet-fur-inside-winter-socks-multicolor-i103113064-s1023874057.html?search=1,https://static-01.daraz.com.np/p/6756b032d07150a89a5c2f7d63568b0e.jpg,510.00,null,Rs. 510,4.6,346,,nt_product,Nepal,103113064_NP-1023874057,103113064_NP,[],[],39704,No Brand,1005019,,360 Station,[],0,"[1819, 1820, 1738, 1756]",query:;nid:103113064;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:103113064_NP;price:510.00;client:desktop;supplier_id:1005019;asc_category_id:1756;item_id:103113064;sku_id:1023874057;shop_id:15005,"[{'sku': '103113064_NP-1023874057', 'title': 'free size', 'skuId': '1023874057', 'count': 0}]",103113064,Free Shipping,1023874057,True,0,False,query:;nid:103113064;src:LazadaMainSrp;rn:7be4209642c5df23310d258e0531109d;region:np;sku:103113064_NP;price:510.00;client:desktop;supplier_id:1005019;asc_category_id:1756;item_id:103113064;sku_id:1023874057;shop_id:15005,item,510.00,search,0,true,1023874057,103113064,7be4209642c5df23310d258e0531109d,510.00,1,2141131716994318119292773eeeb7,,103113064,,,
