name,nid,icons,productUrl,image,originalPrice,originalPriceShow,price,promotionId,priceShow,discount,ratingScore,review,tItemType,location,cheapest_sku,sku,skus,description,brandId,brandName,sellerId,mainSellerId,sellerName,thumbs,restrictedAge,categories,clickTrace,addToCartSkus,itemId,freeShipping,skuId,inStock,isAD,addToCart,adClickTrace,utLogMap.x_object_type,utLogMap.originalPrice,utLogMap.x_item_ids,utLogMap.scene_pre,utLogMap.discount,utLogMap.isFreeShipping,utLogMap.x_sku_ids,utLogMap.SN,utLogMap.current_price,utLogMap.x_ad,utLogMap.x_eagleeye,utLogMap.x_object_id,utLogMap.voucherIds,installment
Women'S Ballroom Korean Style High Waist Summer Belly Pant - Multicolor | Multisize | Fashion | Pants For Women,101150641,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/womens-ballroom-korean-style-high-waist-summer-belly-pant-multicolor-multisize-fashion-pants-for-women-i101150641-s1034456968.html?search=1,https://static-01.daraz.com.np/p/d073f854f5739060bab08e1db43d7ffd.jpg,3500.00,"Rs. 3,500",1449,null,"Rs. 1,449",-59%,4.2,16,nt_product,Nepal,101150641_NP-1034456968,101150641_NP,[],"['Material : Spandex', 'Fit Style: Slim', 'Pattern Type : Plain', 'Pant Style : Skinny', 'Style : Korean Style', 'Decoration : Zipper ,Button ', 'Season : Summer']",39704,No Brand,9000,,ERYAA,[],0,"[1819, 1820, 1738, 4428, 4434]",query:;nid:101150641;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:101150641_NP;price:1449;client:desktop;supplier_id:9000;asc_category_id:4434;item_id:101150641;sku_id:1034456968;shop_id:9066,"[{'sku': '101150641_NP-1034456968', 'title': 'Int S', 'skuId': '1034456968', 'count': 0}]",101150641,Free Shipping,1034456968,True,0,False,query:;nid:101150641;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:101150641_NP;price:1449;client:desktop;supplier_id:9000;asc_category_id:4434;item_id:101150641;sku_id:1034456968;shop_id:9066,item,3500.00,101150641,search,59,true,1034456968,f89e004f9b18cd7491c7d695cbbbe911,1449,1,214112fc16994318319151519e17f5,101150641,,
Winter Thick Fleece Fur Lined Black Leggings For Women,121362597,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/winter-thick-fleece-fur-lined-black-leggings-for-women-i121362597-s1033045595.html?search=1,https://static-01.daraz.com.np/p/e609eb19d7947032fb7f44cc1bf38459.jpg,1200.00,"Rs. 1,200",699.00,null,Rs. 699,-42%,4,5,nt_product,Nepal,121362597_NP-1033045595,121362597_NP,[],[],39704,No Brand,900151659040,,YoursChoise,[],0,"[1819, 1820, 1738, 1756]",query:;nid:121362597;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:121362597_NP;price:699.00;client:desktop;supplier_id:900151659040;asc_category_id:1756;item_id:121362597;sku_id:1033045595;shop_id:30881,"[{'sku': '121362597_NP-1033045595', 'title': 'free size', 'skuId': '1033045595', 'count': 0}]",121362597,,1033045595,True,0,False,query:;nid:121362597;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:121362597_NP;price:699.00;client:desktop;supplier_id:900151659040;asc_category_id:1756;item_id:121362597;sku_id:1033045595;shop_id:30881,item,1200.00,121362597,search,42,false,1033045595,f89e004f9b18cd7491c7d695cbbbe911,699.00,1,214112fc16994318319151519e17f5,121362597,,
Anylady Fashion- New Sexy Excellent Quality Transparent Black Over Knee Tight High Stocking/Socks For Women,128220195,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/anylady-fashion-new-sexy-excellent-quality-transparent-black-over-knee-tight-high-stockingsocks-for-women-i128220195-s1035356048.html?search=1,https://static-01.daraz.com.np/p/baa38589aa324f211fe975bff1b4ddd5.jpg,199.00,Rs. 199,175.00,null,Rs. 175,-12%,,0,nt_product,Nepal,128220195_NP-1035356048,128220195_NP,[],"['1 Pair', 'Skin Frrindly Material', 'Anti- Slip Design', 'Comfort &amp; Adjustable', 'Equally Use For Girls Also', 'High Class Materaial', 'Material: Cotton/nylon', 'Suitable for both summer']",39704,No Brand,900153501912,,Anylady & Dodo Girl Store,[],0,"[1819, 1820, 1738, 1756]",query:;nid:128220195;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:128220195_NP;price:175.00;client:desktop;supplier_id:900153501912;asc_category_id:1756;item_id:128220195;sku_id:1035356048;shop_id:63437,"[{'sku': '128220195_NP-1035356048', 'skuId': '1035356048', 'count': 0}]",128220195,,1035356048,True,0,False,query:;nid:128220195;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:128220195_NP;price:175.00;client:desktop;supplier_id:900153501912;asc_category_id:1756;item_id:128220195;sku_id:1035356048;shop_id:63437,item,199.00,128220195,search,12,false,1035356048,f89e004f9b18cd7491c7d695cbbbe911,175.00,1,214112fc16994318319151519e17f5,128220195,,
Women High Waist Stockings - Black | Free Size | Fashion | High Waist Stocking For Women | Women'S Innerwear |,101142865,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/women-high-waist-stockings-black-free-size-fashion-high-waist-stocking-for-women-womens-innerwear-i101142865-s1021860998.html?search=1,https://static-01.daraz.com.np/p/03c72848b192e1d7184d52b080895537.jpg,500.00,Rs. 500,450.00,null,Rs. 450,-10%,4.1,36,nt_product,Nepal,101142865_NP-1021860998,101142865_NP,[],[],39704,No Brand,1005331,,Pretty Secrets,[],0,"[1819, 1820, 1738, 1756]",query:;nid:101142865;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:101142865_NP;price:450.00;client:desktop;supplier_id:1005331;asc_category_id:1756;item_id:101142865;sku_id:1021860998;shop_id:15214,"[{'sku': '101142865_NP-1021860998', 'title': 'free size', 'skuId': '1021860998', 'count': 0}]",101142865,Free Shipping,1021860998,True,0,False,query:;nid:101142865;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:101142865_NP;price:450.00;client:desktop;supplier_id:1005331;asc_category_id:1756;item_id:101142865;sku_id:1021860998;shop_id:15214,item,500.00,101142865,search,10,true,1021860998,f89e004f9b18cd7491c7d695cbbbe911,450.00,1,214112fc16994318319151519e17f5,101142865,50000000012672,
Thick Fleece inside fur leggings For Women,122613742,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/thick-fleece-inside-fur-leggings-for-women-i122613742-s1033339260.html?search=1,https://static-01.daraz.com.np/p/26895dd761fd42a389e3edfba9a218f3.jpg,,,1299.00,null,"Rs. 1,299",,5,1,nt_product,Nepal,122613742_NP-1033339260,122613742_NP,[],"['Super soft and warm for winter season', 'Stylish and Supportive', 'Flexible and opaque', 'Material: 65% cotton+35% Polyester', 'Good elasticity', 'Extra warm with fur lined inside', 'Fit 145cm-168cm(weight 40-60kg) Ladies', 'Please confirm the color and size before placing the order .']",39704,No Brand,900156000582,,Clothline,[],0,"[1819, 1820, 1738, 4428, 4442]",query:;nid:122613742;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:122613742_NP;price:1299.00;client:desktop;supplier_id:900156000582;asc_category_id:4442;item_id:122613742;sku_id:1033339260;shop_id:77372,"[{'sku': '122613742_NP-1033339260', 'title': 'free size', 'skuId': '1033339260', 'count': 0}]",122613742,Free Shipping,1033339260,True,0,False,query:;nid:122613742;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:122613742_NP;price:1299.00;client:desktop;supplier_id:900156000582;asc_category_id:4442;item_id:122613742;sku_id:1033339260;shop_id:77372,item,1299.00,122613742,search,0,true,1033339260,f89e004f9b18cd7491c7d695cbbbe911,1299.00,1,214112fc16994318319151519e17f5,122613742,,
Combo Of 2 Over Knee Long Socks For Women - 2 Pairs,105463514,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/combo-of-2-over-knee-long-socks-for-women-2-pairs-i105463514-s1027186681.html?search=1,https://static-01.daraz.com.np/p/95939f4f9572737a817465a5692822a6.jpg,,,220.00,null,Rs. 220,,4.8,21,nt_product,Nepal,105463514_NP-1027186681,105463514_NP,[],"['Material: Cotton/nylon', 'Close Fit', 'Highly Comfortable', 'Perfect for weather', 'Suitable for both summer &amp; winter']",39704,No Brand,900152139061,,YUVKA FASHIONIST,[],0,"[1819, 1820, 1738, 1756]",query:;nid:105463514;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:105463514_NP;price:220.00;client:desktop;supplier_id:900152139061;asc_category_id:1756;item_id:105463514;sku_id:1027186681;shop_id:39197,"[{'sku': '105463514_NP-1027186681', 'title': 'Int: One size', 'skuId': '1027186681', 'count': 0}]",105463514,,1027186681,True,0,False,query:;nid:105463514;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:105463514_NP;price:220.00;client:desktop;supplier_id:900152139061;asc_category_id:1756;item_id:105463514;sku_id:1027186681;shop_id:39197,item,220.00,105463514,search,0,false,1027186681,f89e004f9b18cd7491c7d695cbbbe911,220.00,1,214112fc16994318319151519e17f5,105463514,,
Women Chic Winter Joggers Pyjama - Fleece - Fashion | Joggers | Joggers For Women | Women's Wear | Pajama |,123362531,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/women-chic-winter-joggers-pyjama-fleece-fashion-joggers-joggers-for-women-womens-wear-pajama-i123362531-s1033524487.html?search=1,https://static-01.daraz.com.np/p/a6f9c4e200380775e941e3de7b0649dd.jpg,825.00,Rs. 825,428.00,null,Rs. 428,-48%,4,2,nt_product,Nepal,123362531_NP-1033524487,123362531_NP,[],"['Loose-fit designed for a trendy look', 'Sweat Pants perfect to be worn for the winter', 'Stylish & Chic look', 'Super soft and cozy', 'Closed Ankle', 'Can be worn as casualwear or loungewear for home stay', 'Made of soft polyester fabric', 'Available in trendy colors', 'Free size. Perfect for waist size 30-36']",39704,No Brand,900154488331,,Comfy,[],0,"[1819, 1820, 1738, 4428, 4451]",query:;nid:123362531;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:123362531_NP;price:428.00;client:desktop;supplier_id:900154488331;asc_category_id:4451;item_id:123362531;sku_id:1033524487;shop_id:69160,"[{'sku': '123362531_NP-1033524487', 'title': 'Int: One size', 'skuId': '1033524487', 'count': 0}]",123362531,Free Shipping,1033524487,True,0,False,query:;nid:123362531;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:123362531_NP;price:428.00;client:desktop;supplier_id:900154488331;asc_category_id:4451;item_id:123362531;sku_id:1033524487;shop_id:69160,item,825.00,123362531,search,48,true,1033524487,f89e004f9b18cd7491c7d695cbbbe911,428.00,1,214112fc16994318319151519e17f5,123362531,,
Over The Knee Long Socks For Women,103324810,[],//www.daraz.com.np/products/over-the-knee-long-school-socks-for-women-i103324810-s1024063037.html?search=1,https://static-01.daraz.com.np/p/040f57bda70b353d624621480862d001.jpg,,,115.00,null,Rs. 115,,4.9,19,nt_product,Nepal,103324810_NP-1024063037,103324810_NP,[],"['Material: Cotton Mix ', 'Close Fit', 'Highly Comfortable', 'Perfect for weather', 'Suitable for both summer &amp; winter']",39704,No Brand,1009673,,New Tilak Enterprises,[],0,"[1819, 1820, 1738, 1756]",query:;nid:103324810;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:103324810_NP;price:115.00;client:desktop;supplier_id:1009673;asc_category_id:1756;item_id:103324810;sku_id:1024063037;shop_id:19489,"[{'sku': '103324810_NP-1024063037', 'title': 'Int: One size', 'skuId': '1024063037', 'count': 0}]",103324810,,1024063037,True,0,False,query:;nid:103324810;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:103324810_NP;price:115.00;client:desktop;supplier_id:1009673;asc_category_id:1756;item_id:103324810;sku_id:1024063037;shop_id:19489,item,115.00,103324810,search,0,false,1024063037,f89e004f9b18cd7491c7d695cbbbe911,115.00,1,214112fc16994318319151519e17f5,103324810,,
Women'S Sexy See Through Pantyhose Shiny Stockings - Fashion | Pantyhose | Stockings For Women | Innerwear |,105855568,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/womens-sexy-see-through-pantyhose-shiny-stockings-fashion-pantyhose-stockings-for-women-innerwear-i105855568-s1027715984.html?search=1,https://static-01.daraz.com.np/p/f0a5bd2081749eba3e155d4314eba58c.png,,,499.00,null,Rs. 499,,4.1,22,nt_product,Nepal,105855568_NP-1027715984,105855568_NP,[],"['Nylons Spandex Polyester', 'China', 'One size fits most bodies', 'See through pantyhose', 'Shiny stockings', 'Sexy hosiery', 'Sheer']",39704,No Brand,900152364055,,The Blue Moon,[],0,"[1819, 1820, 1738, 1756]",query:;nid:105855568;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:105855568_NP;price:499.00;client:desktop;supplier_id:900152364055;asc_category_id:1756;item_id:105855568;sku_id:1027715984;shop_id:45042,"[{'sku': '105855568_NP-1027715984', 'title': 'free size', 'skuId': '1027715984', 'count': 0}]",105855568,Free Shipping,1027715984,True,0,False,query:;nid:105855568;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:105855568_NP;price:499.00;client:desktop;supplier_id:900152364055;asc_category_id:1756;item_id:105855568;sku_id:1027715984;shop_id:45042,item,499.00,105855568,search,0,true,1027715984,f89e004f9b18cd7491c7d695cbbbe911,499.00,1,214112fc16994318319151519e17f5,105855568,,
LOGO Pegged Pant For Women,127968668,"[{'domClass': 'lazMall', 'text': 'LazMall', 'alias': 'LazMallAlias', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/logo-pegged-pant-for-women-i127968668-s1035008355.html?search=1,https://static-01.daraz.com.np/p/b2dca3e4d87b0006c9cd45443e574d89.jpg,2200.00,"Rs. 2,200",699,null,Rs. 699,-68%,4.3,3,nt_product,Nepal,127968668_NP-1035008355,127968668_NP,[],"['Cotton fabric ', 'Attached belt design ', 'Light and comfortable fit ', 'Wash as per the instruction on care label ']",55775,LOGO,900152982023,,LOGO,[],0,"[1819, 1820, 1738, 4428, 4434]",query:;nid:127968668;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:127968668_NP;price:699;client:desktop;supplier_id:900152982023;asc_category_id:4434;item_id:127968668;sku_id:1035008355;shop_id:56447,"[{'sku': '127968668_NP-1035008357', 'title': 'Int:26', 'skuId': '1035008357', 'count': 0}, {'sku': '127968668_NP-1035008355', 'title': 'Int:28', 'skuId': '1035008355', 'count': 0}, {'sku': '127968668_NP-1035008356', 'title': 'Int:30', 'skuId': '1035008356', 'count': 0}]",127968668,Free Shipping,1035008355,True,0,False,query:;nid:127968668;src:LazadaMainSrp;rn:f89e004f9b18cd7491c7d695cbbbe911;region:np;sku:127968668_NP;price:699;client:desktop;supplier_id:900152982023;asc_category_id:4434;item_id:127968668;sku_id:1035008355;shop_id:56447,item,2200.00,127968668,search,68,true,1035008355,f89e004f9b18cd7491c7d695cbbbe911,699,1,214112fc16994318319151519e17f5,127968668,,
