name,nid,icons,productUrl,image,originalPrice,originalPriceShow,price,promotionId,priceShow,discount,review,tItemType,location,cheapest_sku,sku,skus,description,brandId,brandName,sellerId,mainSellerId,sellerName,thumbs,restrictedAge,categories,clickTrace,addToCartSkus,itemId,skuId,inStock,isAD,addToCart,adClickTrace,utLogMap.x_object_type,utLogMap.originalPrice,utLogMap.x_item_ids,utLogMap.scene_pre,utLogMap.discount,utLogMap.isFreeShipping,utLogMap.x_sku_ids,utLogMap.SN,utLogMap.current_price,utLogMap.x_ad,utLogMap.x_eagleeye,utLogMap.x_object_id,freeShipping,installment,ratingScore,utLogMap.voucherIds
Nepster Light Grey High Rise Premium Straight Cotton Cargo Box Pants For Women,128120260,"[{'domClass': 'lazMall', 'text': 'LazMall', 'alias': 'LazMallAlias', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/nepster-light-grey-high-rise-premium-straight-cotton-cargo-box-pants-for-women-i128120260-s1035196942.html?search=1,https://static-01.daraz.com.np/p/baf02a3a2afaaf33e06f78cd452a32fe.jpg,1800.00,"Rs. 1,800",1372,null,"Rs. 1,372",-24%,0,nt_product,Nepal,128120260_NP-1035196942,128120260_NP,[],"['Cargo Box Cotton Pant For Women', 'Has a Zip and Button Closure', 'Has Six Pockets (4 Box Pockets)', 'Available Sizes: 27, 28, 29, 30, 31 and 32.', 'Waistband with belt loops', '98% cotton, 2% elastane', 'Hand/Machine Wash', 'Length: 38/39 inches']",126528810,Nepster,900159987888,,NEPSTER,[],0,"[1819, 1820, 1738, 4428, 4434]",query:;nid:128120260;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:128120260_NP;price:1372;client:desktop;supplier_id:900159987888;asc_category_id:4434;item_id:128120260;sku_id:1035196942;shop_id:102739,"[{'sku': '128120260_NP-1035196946', 'title': 'Waist:27', 'skuId': '1035196946', 'count': 0}, {'sku': '128120260_NP-1035196942', 'title': 'Waist:28', 'skuId': '1035196942', 'count': 0}, {'sku': '128120260_NP-1035196943', 'title': 'Waist:29', 'skuId': '1035196943', 'count': 0}, {'sku': '128120260_NP-1035196944', 'title': 'Waist:30', 'skuId': '1035196944', 'count': 0}, {'sku': '128120260_NP-1035196945', 'title': 'Waist:31', 'skuId': '1035196945', 'count': 0}, {'sku': '128120260_NP-1035196947', 'title': 'Waist:32', 'skuId': '1035196947', 'count': 0}]",128120260,1035196942,True,0,False,query:;nid:128120260;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:128120260_NP;price:1372;client:desktop;supplier_id:900159987888;asc_category_id:4434;item_id:128120260;sku_id:1035196942;shop_id:102739,item,1800.00,128120260,search,24,false,1035196942,9e3640728e6c855fba38249c76d66d8d,1372,1,21411ec416994318386034651e843c,128120260,,,,
Masala Beads Cute Cotton Socks Spring And Summer Thin Section Retro Ankle Socks For Women's - Fashion |,128278459,"[{'domClass': 'lazMall', 'text': 'LazMall', 'alias': 'LazMallAlias', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/masala-beads-cute-cotton-socks-spring-and-summer-thin-section-retro-ankle-socks-for-womens-fashion-i128278459-s1035515573.html?search=1,https://static-01.daraz.com.np/p/838ed076fff2ed62b024725c60e8d199.jpg,150.00,Rs. 150,135,null,Rs. 135,-10%,0,nt_product,Bagmati,128278459_NP-1035515573,128278459_NP,[],"['COMFORTABLE ', 'FOR SOCKS ', 'FASHION AND TRENDY', ""FOR WOMEN'S""]",186001,Masala Beads,8278,,Masala Beads,[],0,"[1819, 1820, 1738, 1756]",query:;nid:128278459;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:128278459_NP;price:135;client:desktop;supplier_id:8278;asc_category_id:1756;item_id:128278459;sku_id:1035515573;shop_id:8148,"[{'sku': '128278459_NP-1035515573', 'skuId': '1035515573', 'count': 0}]",128278459,1035515573,True,0,False,query:;nid:128278459;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:128278459_NP;price:135;client:desktop;supplier_id:8278;asc_category_id:1756;item_id:128278459;sku_id:1035515573;shop_id:8148,item,150.00,128278459,search,10,true,1035515573,9e3640728e6c855fba38249c76d66d8d,135,1,21411ec416994318386034651e843c,128278459,Free Shipping,,,
Cotton Printed Unstitched Kurta Surwal Cloth For Women- 2 Metre Cut.,128173744,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/cotton-printed-unstitched-kurta-surwal-cloth-for-women-2-metre-cut-i128173744-s1035281509.html?search=1,https://static-01.daraz.com.np/p/97d8305126871b7e3f53ca01ad40cfa0.jpg,500.00,Rs. 500,400.00,null,Rs. 400,-20%,0,nt_product,Nepal,128173744_NP-1035281509,128173744_NP,[],"['Fabric : Cotton', 'Dress Material: print', 'Occasion: Party , Festive ,Wedding Wear Best Gift For Your Loved Ones,', 'Wash Care :Dry Clean /Hand wash', 'Material size- 2 meter']",39704,No Brand,900154332603,,Ashish Trade Concern,[],0,"[1819, 1820, 1738, 10002970, 10002971]",query:;nid:128173744;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:128173744_NP;price:400.00;client:desktop;supplier_id:900154332603;asc_category_id:10002971;item_id:128173744;sku_id:1035281509;shop_id:68271,"[{'sku': '128173744_NP-1035281509', 'title': 'free size', 'skuId': '1035281509', 'count': 0}]",128173744,1035281509,True,0,False,query:;nid:128173744;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:128173744_NP;price:400.00;client:desktop;supplier_id:900154332603;asc_category_id:10002971;item_id:128173744;sku_id:1035281509;shop_id:68271,item,500.00,128173744,search,20,false,1035281509,9e3640728e6c855fba38249c76d66d8d,400.00,1,21411ec416994318386034651e843c,128173744,,,,
5  Pair Random Assorted Color Mix Woolen indoor socks Handknit Socks for Women,109073360,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/5-pair-random-assorted-color-mix-woolen-indoor-socks-handknit-socks-for-women-i109073360-s1029468666.html?search=1,https://static-01.daraz.com.np/p/9b582077a06c0b1bbb92533a63ee5f60.jpg,,,2799.00,null,"Rs. 2,799",,0,nt_product,Nepal,109073360_NP-1029468666,109073360_NP,[],[],39704,No Brand,900151209014,,Kapada Fancy,[],0,"[1819, 1820, 1738, 1756]",query:;nid:109073360;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:109073360_NP;price:2799.00;client:desktop;supplier_id:900151209014;asc_category_id:1756;item_id:109073360;sku_id:1029468666;shop_id:25082,"[{'sku': '109073360_NP-1029468666', 'title': 'free size', 'skuId': '1029468666', 'count': 0}]",109073360,1029468666,True,0,False,query:;nid:109073360;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:109073360_NP;price:2799.00;client:desktop;supplier_id:900151209014;asc_category_id:1756;item_id:109073360;sku_id:1029468666;shop_id:25082,item,2799.00,109073360,search,0,true,1029468666,9e3640728e6c855fba38249c76d66d8d,2799.00,1,21411ec416994318386034651e843c,109073360,Free Shipping,,,
Masala Beads Cute Cotton Socks Spring And Summer Thin Section Retro Ankle Socks For Women's - Fashion |,128273505,"[{'domClass': 'lazMall', 'text': 'LazMall', 'alias': 'LazMallAlias', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/masala-beads-cute-cotton-socks-spring-and-summer-thin-section-retro-ankle-socks-for-womens-fashion-i128273505-s1035516633.html?search=1,https://static-01.daraz.com.np/p/3288ba41a7acef4c6c2bf7bf3817383a.jpg,150.00,Rs. 150,135,null,Rs. 135,-10%,0,nt_product,Bagmati,128273505_NP-1035516633,128273505_NP,[],"['COMFORTABLE ', 'FOR SOCKS ', 'FASHION AND TRENDY', ""FOR WOMEN'S""]",186001,Masala Beads,8278,,Masala Beads,[],0,"[1819, 1820, 1738, 1756]",query:;nid:128273505;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:128273505_NP;price:135;client:desktop;supplier_id:8278;asc_category_id:1756;item_id:128273505;sku_id:1035516633;shop_id:8148,"[{'sku': '128273505_NP-1035516633', 'skuId': '1035516633', 'count': 0}]",128273505,1035516633,True,0,False,query:;nid:128273505;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:128273505_NP;price:135;client:desktop;supplier_id:8278;asc_category_id:1756;item_id:128273505;sku_id:1035516633;shop_id:8148,item,150.00,128273505,search,10,true,1035516633,9e3640728e6c855fba38249c76d66d8d,135,1,21411ec416994318386034651e843c,128273505,Free Shipping,,,
Masala Beads Cute Cotton Smily Socks Spring And Summer Thin Section Retro Socks For Womens - Fashion |,128287080,"[{'domClass': 'lazMall', 'text': 'LazMall', 'alias': 'LazMallAlias', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/masala-beads-cute-cotton-smily-socks-spring-and-summer-thin-section-retro-socks-for-womens-fashion-i128287080-s1035510973.html?search=1,https://static-01.daraz.com.np/p/edd12c85955c28605fdb5a26e37db53a.jpg,150.00,Rs. 150,135,null,Rs. 135,-10%,0,nt_product,Bagmati,128287080_NP-1035510973,128287080_NP,[],"['COMFORTABLE ', 'FOR SOCKS ', 'FASHION AND TRENDY', ""FOR WOMEN'S""]",186001,Masala Beads,8278,,Masala Beads,[],0,"[1819, 1820, 1738, 1756]",query:;nid:128287080;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:128287080_NP;price:135;client:desktop;supplier_id:8278;asc_category_id:1756;item_id:128287080;sku_id:1035510973;shop_id:8148,"[{'sku': '128287080_NP-1035510973', 'skuId': '1035510973', 'count': 0}]",128287080,1035510973,True,0,False,query:;nid:128287080;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:128287080_NP;price:135;client:desktop;supplier_id:8278;asc_category_id:1756;item_id:128287080;sku_id:1035510973;shop_id:8148,item,150.00,128287080,search,10,true,1035510973,9e3640728e6c855fba38249c76d66d8d,135,1,21411ec416994318386034651e843c,128287080,Free Shipping,,,
Pink Ladies Formal Pants,128137121,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/pink-ladies-formal-pants-i128137121-s1035228137.html?search=1,https://np-live-21.slatic.net/kf/Sa4164455e00540a69698e65f652c97c8N.jpg,1199.00,"Rs. 1,199",898,null,Rs. 898,-25%,2,nt_product,Nepal,128137121_NP-1035228137,128137121_NP,[],"['Stretchable', 'Perfect for you formal look as well as casual look', 'Straight fitted', 'High waisted ', 'Available in three colors']",39704,No Brand,900159798112,,Fashion Factory-Nepal,[],0,"[1819, 1820, 1738, 4428, 4434]",query:;nid:128137121;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:128137121_NP;price:898;client:desktop;supplier_id:900159798112;asc_category_id:4434;item_id:128137121;sku_id:1035228137;shop_id:102464,"[{'sku': '128137121_NP-1035228139', 'title': 'Waist:26', 'skuId': '1035228139', 'count': 0}, {'sku': '128137121_NP-1035228138', 'title': 'Waist:27', 'skuId': '1035228138', 'count': 0}, {'sku': '128137121_NP-1035228137', 'title': 'Waist:28', 'skuId': '1035228137', 'count': 0}, {'sku': '128137121_NP-1035228142', 'title': 'Waist:29', 'skuId': '1035228142', 'count': 0}, {'sku': '128137121_NP-1035228140', 'title': 'Waist:31', 'skuId': '1035228140', 'count': 0}]",128137121,1035228137,True,0,False,query:;nid:128137121;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:128137121_NP;price:898;client:desktop;supplier_id:900159798112;asc_category_id:4434;item_id:128137121;sku_id:1035228137;shop_id:102464,item,1199.00,128137121,search,25,false,1035228137,9e3640728e6c855fba38249c76d66d8d,898,1,21411ec416994318386034651e843c,128137121,,,3,
Women Three Stripe Over Knee High Socks Extra Long Athletic,103036525,"[{'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/women-three-stripe-over-knee-high-socks-extra-long-athletic-i103036525-s1035905098.html?search=1,https://np-live-21.slatic.net/kf/Sd612c22665f3467bb49cca67eeee04e9I.jpg,999.00,Rs. 999,650.00,null,Rs. 650,-35%,12,nt_product,Nepal,103036525_NP-1035905098,103036525_NP,[],"[' over knee high socks for women.', 'Three stripe design adds athletic style.', 'Comfortable fit ', 'for all day wear.', 'Perfect for sports or casual wear.', 'High quality material for durability.', ' Available in multiple colors.', 'Fashionable addition to any outfit.']",39704,No Brand,1004100,,K-bazzar,[],0,"[1819, 1820, 1738, 1756]",query:;nid:103036525;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:103036525_NP;price:650.00;client:desktop;supplier_id:1004100;asc_category_id:1756;item_id:103036525;sku_id:1035905098;shop_id:14001,"[{'sku': '103036525_NP-1035905098', 'skuId': '1035905098', 'count': 0}]",103036525,1035905098,True,0,False,query:;nid:103036525;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:103036525_NP;price:650.00;client:desktop;supplier_id:1004100;asc_category_id:1756;item_id:103036525;sku_id:1035905098;shop_id:14001,item,999.00,103036525,search,35,true,1035905098,9e3640728e6c855fba38249c76d66d8d,650.00,1,21411ec416994318386034651e843c,103036525,Free Shipping,,4,
Pebbles Nepal Elastic High-waist Solid Color Knitted Wide-leg Trousers for Women,128227830,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/pebbles-nepal-elastic-high-waist-solid-color-knitted-wide-leg-trousers-for-women-i128227830-s1035376644.html?search=1,https://static-01.daraz.com.np/p/9083302c4a55af97cef38c216087309d.jpg,4099.00,"Rs. 4,099",2078,null,"Rs. 2,078",-49%,0,nt_product,Nepal,128227830_NP-1035376644,128227830_NP,[],"['Wide legged korean style pants', 'Free size', 'Best quality', 'Thick and warm material']",39704,No Brand,900154218941,,Pebbles Nepal,[],0,"[1819, 1820, 1738, 4428, 4442]",query:;nid:128227830;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:128227830_NP;price:2078;client:desktop;supplier_id:900154218941;asc_category_id:4442;item_id:128227830;sku_id:1035376644;shop_id:67580,"[{'sku': '128227830_NP-1035376644', 'title': 'free size', 'skuId': '1035376644', 'count': 0}]",128227830,1035376644,True,0,False,query:;nid:128227830;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:128227830_NP;price:2078;client:desktop;supplier_id:900154218941;asc_category_id:4442;item_id:128227830;sku_id:1035376644;shop_id:67580,item,4099.00,128227830,search,49,false,1035376644,9e3640728e6c855fba38249c76d66d8d,2078,1,21411ec416994318386034651e843c,128227830,,,,
Masala Beads Cute Cotton Smily Socks Spring And Summer Thin Section Retro Socks For Womens - Fashion |,128273582,"[{'domClass': 'lazMall', 'text': 'LazMall', 'alias': 'LazMallAlias', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/masala-beads-cute-cotton-smily-socks-spring-and-summer-thin-section-retro-socks-for-womens-fashion-i128273582-s1035529035.html?search=1,https://static-01.daraz.com.np/p/389af136c9ea27eceaaaa47863370a36.jpg,150.00,Rs. 150,135,null,Rs. 135,-10%,1,nt_product,Bagmati,128273582_NP-1035529035,128273582_NP,[],"['COMFORTABLE ', 'FOR SOCKS ', 'FASHION AND TRENDY', ""FOR WOMEN'S""]",186001,Masala Beads,8278,,Masala Beads,[],0,"[1819, 1820, 1738, 1756]",query:;nid:128273582;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:128273582_NP;price:135;client:desktop;supplier_id:8278;asc_category_id:1756;item_id:128273582;sku_id:1035529035;shop_id:8148,"[{'sku': '128273582_NP-1035529035', 'skuId': '1035529035', 'count': 0}]",128273582,1035529035,True,0,False,query:;nid:128273582;src:LazadaMainSrp;rn:9e3640728e6c855fba38249c76d66d8d;region:np;sku:128273582_NP;price:135;client:desktop;supplier_id:8278;asc_category_id:1756;item_id:128273582;sku_id:1035529035;shop_id:8148,item,150.00,128273582,search,10,true,1035529035,9e3640728e6c855fba38249c76d66d8d,135,1,21411ec416994318386034651e843c,128273582,Free Shipping,,5,
