name,nid,icons,productUrl,image,price,promotionId,priceShow,ratingScore,review,installment,tItemType,location,cheapest_sku,sku,skus,description,brandId,brandName,sellerId,mainSellerId,sellerName,thumbs,restrictedAge,categories,clickTrace,addToCartSkus,itemId,freeShipping,skuId,inStock,isAD,addToCart,adClickTrace,utLogMap.x_object_type,utLogMap.originalPrice,utLogMap.x_item_ids,utLogMap.scene_pre,utLogMap.discount,utLogMap.isFreeShipping,utLogMap.x_sku_ids,utLogMap.SN,utLogMap.current_price,utLogMap.x_ad,utLogMap.x_eagleeye,utLogMap.x_object_id,originalPrice,originalPriceShow,discount,utLogMap.voucherIds
Side Pocket Design Cargo Pants For Women - Multicolor | Multisize | Fashion | Pants For Women | Cargo Pants,125913270,"[{'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/side-pocket-design-cargo-pants-for-women-multicolor-multisize-fashion-pants-for-women-cargo-pants-i125913270-s1034123613.html?search=1,https://static-01.daraz.com.np/p/7e3b6cc09c3d54bd6b13a7fd1c608a95.jpg,1690.00,null,"Rs. 1,690",2.7,3,,nt_product,Nepal,125913270_NP-1034123613,125913270_NP,[],"['Material-Cotton', 'Fashionable', 'Attractive', 'Good Quality Product', 'Durable and comfortable', 'latest arrival cargo pant']",39704,No Brand,900155040255,,Mini fashion collection,[],0,"[1819, 1820, 1738, 4428, 4434]",query:;nid:125913270;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:125913270_NP;price:1690.00;client:desktop;supplier_id:900155040255;asc_category_id:4434;item_id:125913270;sku_id:1034123613;shop_id:72536,"[{'sku': '125913270_NP-1034123615', 'title': 'L', 'skuId': '1034123615', 'count': 0}, {'sku': '125913270_NP-1034123614', 'title': 'M', 'skuId': '1034123614', 'count': 0}, {'sku': '125913270_NP-1034123613', 'title': 'S', 'skuId': '1034123613', 'count': 0}, {'sku': '125913270_NP-1034123616', 'title': 'XL', 'skuId': '1034123616', 'count': 0}]",125913270,Free Shipping,1034123613,True,0,False,query:;nid:125913270;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:125913270_NP;price:1690.00;client:desktop;supplier_id:900155040255;asc_category_id:4434;item_id:125913270;sku_id:1034123613;shop_id:72536,item,1690.00,125913270,search,0,true,1034123613,3ad0075262db7f870028cd1e5c19227b,1690.00,1,2141132616994318520158357e016d,125913270,,,,
Women Thick Casual Pant Style High Waist Fur Leggings Pant,122532116,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/women-thick-casual-pant-style-high-waist-fur-leggings-pant-i122532116-s1033316697.html?search=1,https://static-01.daraz.com.np/p/11f00ca3c87f9291ed913fc61190218e.jpg,1700.00,null,"Rs. 1,700",1,1,,nt_product,Nepal,122532116_NP-1033316697,122532116_NP,[],"['Material : Wool', 'Closure Type : Elastic Waist', 'Pant Length : Full', 'Sport Type : Yoga', 'Product Length : Full Length', 'Fit Type : Regular ']",39704,No Brand,9000,,ERYAA,[],0,"[1819, 1820, 1738, 4428, 4442]",query:;nid:122532116;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:122532116_NP;price:1700.00;client:desktop;supplier_id:9000;asc_category_id:4442;item_id:122532116;sku_id:1033316697;shop_id:9066,"[{'sku': '122532116_NP-1033316697', 'title': 'Int S', 'skuId': '1033316697', 'count': 0}, {'sku': '122532116_NP-1033316698', 'title': 'Int M', 'skuId': '1033316698', 'count': 0}, {'sku': '122532116_NP-1033316699', 'title': 'Int L', 'skuId': '1033316699', 'count': 0}, {'sku': '122532116_NP-1033316701', 'title': 'Int XL', 'skuId': '1033316701', 'count': 0}, {'sku': '122532116_NP-1033316700', 'title': 'Int XXL', 'skuId': '1033316700', 'count': 0}, {'sku': '122532116_NP-1033316702', 'title': 'Int 3XL', 'skuId': '1033316702', 'count': 0}]",122532116,Free Shipping,1033316697,True,0,False,query:;nid:122532116;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:122532116_NP;price:1700.00;client:desktop;supplier_id:9000;asc_category_id:4442;item_id:122532116;sku_id:1033316697;shop_id:9066,item,3000.00,122532116,search,43,true,1033316697,3ad0075262db7f870028cd1e5c19227b,1700.00,1,2141132616994318520158357e016d,122532116,3000.00,"Rs. 3,000",-43%,50000001512009
Binay Embroidery Cotton Pate Multicolor Joggers For Women - Fashion | Joggers For Women | Women'S Wear | Joggers,125231191,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/binay-embroidery-cotton-pate-multicolor-joggers-for-women-fashion-joggers-for-women-womens-wear-joggers-i125231191-s1033996838.html?search=1,https://static-01.daraz.com.np/p/f659ac572352eef9c04400db47b97c01.jpg,531,null,Rs. 531,5,1,,nt_product,Nepal,125231191_NP-1033996838,125231191_NP,[],"['Fabric : Mixed Cotton', 'Closure : Elasticated', 'Stylish and comfortable', 'Wash Care : Hand/Machine Wash']",39704,No Brand,1003665,,Binay embroidery,[],0,"[1819, 1820, 1738, 4428, 4451]",query:;nid:125231191;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:125231191_NP;price:531;client:desktop;supplier_id:1003665;asc_category_id:4451;item_id:125231191;sku_id:1033996838;shop_id:13572,"[{'sku': '125231191_NP-1033996838', 'title': 'Int: One size', 'skuId': '1033996838', 'count': 0}]",125231191,Free Shipping,1033996838,True,0,False,query:;nid:125231191;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:125231191_NP;price:531;client:desktop;supplier_id:1003665;asc_category_id:4451;item_id:125231191;sku_id:1033996838;shop_id:13572,item,699.00,125231191,search,24,true,1033996838,3ad0075262db7f870028cd1e5c19227b,531,1,2141132616994318520158357e016d,125231191,699.00,Rs. 699,-24%,
Doro Navy Athletic Stretchable Leggings for Women,127967951,"[{'domClass': 'lazMall', 'text': 'LazMall', 'alias': 'LazMallAlias', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/doro-navy-athletic-stretchable-leggings-for-women-i127967951-s1035013237.html?search=1,https://static-01.daraz.com.np/p/99be64373c8183a523af6b6675ba77f5.jpg,999,null,Rs. 999,,0,,nt_product,Nepal,127967951_NP-1035013237,127967951_NP,[],"['Material: Super Stretchy Spandex.', 'Two pockets (7 inches).', 'Stretchable Fabric.', 'Reflective logo.', 'Double Elastic waist.', 'Comfortable Wear.', 'Gym Wear.', 'Casual Wear.']",24626,Doro,900153444012,,Doro Wears,[],0,"[1819, 1820, 1738, 4428, 4442]",query:;nid:127967951;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:127967951_NP;price:999;client:desktop;supplier_id:900153444012;asc_category_id:4442;item_id:127967951;sku_id:1035013237;shop_id:62926,"[{'sku': '127967951_NP-1035013237', 'title': 'Int M', 'skuId': '1035013237', 'count': 0}, {'sku': '127967951_NP-1035013238', 'title': 'Int L', 'skuId': '1035013238', 'count': 0}, {'sku': '127967951_NP-1035013239', 'title': 'Int XL', 'skuId': '1035013239', 'count': 0}]",127967951,Free Shipping,1035013237,True,0,False,query:;nid:127967951;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:127967951_NP;price:999;client:desktop;supplier_id:900153444012;asc_category_id:4442;item_id:127967951;sku_id:1035013237;shop_id:62926,item,1175.00,127967951,search,15,true,1035013237,3ad0075262db7f870028cd1e5c19227b,999,1,2141132616994318520158357e016d,127967951,1175.00,"Rs. 1,175",-15%,
Binay Embroidery White Stretchable Leggings For Women - Fashion | Leggings For Women | Women's Wear |,116085042,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/binay-embroidery-white-stretchable-leggings-for-women-fashion-leggings-for-women-womens-wear-i116085042-s1031750180.html?search=1,https://static-01.daraz.com.np/p/46f5b06ce0f25fbbce90a1191247b3e7.jpg,371.00,null,Rs. 371,3.8,5,,nt_product,Nepal,116085042_NP-1031750180,116085042_NP,[],"['Fabric : Mixed Cotton', 'Closure : Elasticated', 'Perfect for walksWhat your loved one will look in these Jogger Pants . Wearing this pair of cotton fleecepants, will be free to bring havoc owing to the endless comfort and breathability of the fabric. Leggings For Women', 'Stylish and comfortable', 'Wash Care : Hand/Machine Wash']",39704,No Brand,1003665,,Binay embroidery,[],0,"[1819, 1820, 1738, 4428, 4442]",query:;nid:116085042;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:116085042_NP;price:371.00;client:desktop;supplier_id:1003665;asc_category_id:4442;item_id:116085042;sku_id:1031750180;shop_id:13572,"[{'sku': '116085042_NP-1031750180', 'title': 'Int: One size', 'skuId': '1031750180', 'count': 0}]",116085042,Free Shipping,1031750180,True,0,False,query:;nid:116085042;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:116085042_NP;price:371.00;client:desktop;supplier_id:1003665;asc_category_id:4442;item_id:116085042;sku_id:1031750180;shop_id:13572,item,450.00,116085042,search,18,true,1031750180,3ad0075262db7f870028cd1e5c19227b,371.00,1,2141132616994318520158357e016d,116085042,450.00,Rs. 450,-18%,
Doro Mint Athletic Stretchable Leggings for Women,127966922,"[{'domClass': 'lazMall', 'text': 'LazMall', 'alias': 'LazMallAlias', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/doro-mint-athletic-stretchable-leggings-for-women-i127966922-s1035009425.html?search=1,https://static-01.daraz.com.np/p/faf149eb31264a6f23b94f042181537a.jpg,999,null,Rs. 999,4,1,,nt_product,Nepal,127966922_NP-1035009425,127966922_NP,[],"['Material: Super Stretchy Spandex.', 'Two pockets (7 inches).', 'Stretchable Fabric.', 'Reflective logo.', 'Double Elastic waist.', 'Comfortable Wear.', 'Gym Wear.', 'Casual Wear.']",24626,Doro,900153444012,,Doro Wears,[],0,"[1819, 1820, 1738, 4428, 4442]",query:;nid:127966922;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:127966922_NP;price:999;client:desktop;supplier_id:900153444012;asc_category_id:4442;item_id:127966922;sku_id:1035009425;shop_id:62926,"[{'sku': '127966922_NP-1035009425', 'title': 'Int M', 'skuId': '1035009425', 'count': 0}, {'sku': '127966922_NP-1035009426', 'title': 'Int L', 'skuId': '1035009426', 'count': 0}, {'sku': '127966922_NP-1035009427', 'title': 'Int XL', 'skuId': '1035009427', 'count': 0}]",127966922,Free Shipping,1035009425,True,0,False,query:;nid:127966922;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:127966922_NP;price:999;client:desktop;supplier_id:900153444012;asc_category_id:4442;item_id:127966922;sku_id:1035009425;shop_id:62926,item,1175.00,127966922,search,15,true,1035009425,3ad0075262db7f870028cd1e5c19227b,999,1,2141132616994318520158357e016d,127966922,1175.00,"Rs. 1,175",-15%,
New Summer Chiffon Pleated Skirt Large Hem High Waist Elastic Patchwork Cake A-Line Skirt Boho Swing Beach Vintage Long Maxi Skirt,127904443,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/new-summer-chiffon-pleated-skirt-large-hem-high-waist-elastic-patchwork-cake-a-line-skirt-boho-swing-beach-vintage-long-maxi-skirt-i127904443-s1034967714.html?search=1,https://np-live-21.slatic.net/kf/S83830da218bc491db58d39a611327b9bL.jpg,2250.00,null,"Rs. 2,250",,0,,nt_product,Nepal,127904443_NP-1034967714,127904443_NP,[],"[' Chiffon Pleated Skirt ', 'Large Hem High Waist Elastic', '  Cake A-line Skirt  Swing Beach Vintage ', 'Long Maxi Skirt ', 'Mechine Wash ']",39704,No Brand,900156972463,,fashion valley np,[],0,"[1819, 1820, 1738, 1755]",query:;nid:127904443;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:127904443_NP;price:2250.00;client:desktop;supplier_id:900156972463;asc_category_id:1755;item_id:127904443;sku_id:1034967714;shop_id:87865,"[{'sku': '127904443_NP-1034967714', 'title': 'free size', 'skuId': '1034967714', 'count': 0}]",127904443,Free Shipping,1034967714,True,0,False,query:;nid:127904443;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:127904443_NP;price:2250.00;client:desktop;supplier_id:900156972463;asc_category_id:1755;item_id:127904443;sku_id:1034967714;shop_id:87865,item,2250.00,127904443,search,0,true,1034967714,3ad0075262db7f870028cd1e5c19227b,2250.00,1,2141132616994318520158357e016d,127904443,,,,
Thick Fleece inside fur leggings For Women,121489471,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/thick-fleece-inside-fur-leggings-for-women-i121489471-s1033063655.html?search=1,https://static-01.daraz.com.np/p/d9d309c955e631c142cf8c1831138993.jpg,1199.00,null,"Rs. 1,199",5,1,,nt_product,Nepal,121489471_NP-1033063655,121489471_NP,[],[],39704,No Brand,900155040255,,Mini fashion collection,[],0,"[1819, 1820, 1738, 4428, 4442]",query:;nid:121489471;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:121489471_NP;price:1199.00;client:desktop;supplier_id:900155040255;asc_category_id:4442;item_id:121489471;sku_id:1033063655;shop_id:72536,"[{'sku': '121489471_NP-1033063655', 'skuId': '1033063655', 'count': 0}]",121489471,Free Shipping,1033063655,True,0,False,query:;nid:121489471;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:121489471_NP;price:1199.00;client:desktop;supplier_id:900155040255;asc_category_id:4442;item_id:121489471;sku_id:1033063655;shop_id:72536,item,1199.00,121489471,search,0,true,1033063655,3ad0075262db7f870028cd1e5c19227b,1199.00,1,2141132616994318520158357e016d,121489471,,,,
Black Pantyhose Stocking For Women,105950757,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/black-pantyhose-stocking-for-women-i105950757-s1027876734.html?search=1,https://static-01.daraz.com.np/p/5518448bd0f153487aa9a93599dc52a9.jpg,399.00,null,Rs. 399,4.4,19,,nt_product,Nepal,105950757_NP-1027876734,105950757_NP,[],[],39704,No Brand,1005331,,Pretty Secrets,[],0,"[1819, 1820, 1738, 1756]",query:;nid:105950757;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:105950757_NP;price:399.00;client:desktop;supplier_id:1005331;asc_category_id:1756;item_id:105950757;sku_id:1027876734;shop_id:15214,"[{'sku': '105950757_NP-1027876734', 'title': 'free size', 'skuId': '1027876734', 'count': 0}]",105950757,Free Shipping,1027876734,True,0,False,query:;nid:105950757;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:105950757_NP;price:399.00;client:desktop;supplier_id:1005331;asc_category_id:1756;item_id:105950757;sku_id:1027876734;shop_id:15214,item,600.00,105950757,search,34,true,1027876734,3ad0075262db7f870028cd1e5c19227b,399.00,1,2141132616994318520158357e016d,105950757,600.00,Rs. 600,-34%,5000000001267250000000012711
Nude Stocking For Women Stockings from Legginstore is a Smart Essential,113355804,"[{'domClass': 'NPDashianDhamaka', 'text': '', 'alias': 'NPDashianDhamaka', 'type': 'img', 'group': '1', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}, {'domClass': 'freeShipping', 'text': 'FreeShipping', 'alias': 'FsAlias', 'type': 'img', 'group': '2', 'showType': '0', 'order': 0, 'font-size': 0, 'coins': False}]",//www.daraz.com.np/products/nude-stocking-for-women-stockings-from-legginstore-is-a-smart-essential-i113355804-s1030807883.html?search=1,https://static-01.daraz.com.np/p/a45dcf65ea24fcfd86b06202ae357873.jpg,280.00,null,Rs. 280,4.2,10,,nt_product,Nepal,113355804_NP-1030807883,113355804_NP,[],[],39704,No Brand,1002154,,Tele Mart Nepal Pvt. Ltd.,[],0,"[1819, 1820, 1738, 1756]",query:;nid:113355804;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:113355804_NP;price:280.00;client:desktop;supplier_id:1002154;asc_category_id:1756;item_id:113355804;sku_id:1030807883;shop_id:12048,"[{'sku': '113355804_NP-1030807883', 'title': 'free size', 'skuId': '1030807883', 'count': 0}]",113355804,Free Shipping,1030807883,True,0,False,query:;nid:113355804;src:LazadaMainSrp;rn:3ad0075262db7f870028cd1e5c19227b;region:np;sku:113355804_NP;price:280.00;client:desktop;supplier_id:1002154;asc_category_id:1756;item_id:113355804;sku_id:1030807883;shop_id:12048,item,350.00,113355804,search,20,true,1030807883,3ad0075262db7f870028cd1e5c19227b,280.00,1,2141132616994318520158357e016d,113355804,350.00,Rs. 350,-20%,
